run_id,model_run_time(ns)
1,195293545
2,9322431
3,9769548
4,9269243
5,9255497
6,9255527
7,9456152
8,9460560
9,9257250
10,9267258
11,9257721
12,9261829
13,9464868
14,9458206
15,9249226
16,9578882
17,9452827
18,9268031
19,9260176
20,9708935
21,9236020
22,9274673
23,9223888
24,9435093
25,9457234
26,9246991
27,9253182
28,9277038
29,9258672
30,9262841
31,9283219
32,9462554
33,9442907
34,9251921
35,9237144
36,9248595
37,9249155
38,9428260
39,9413573
40,9225431
41,9280724
42,9442196
43,9423171
44,9238515
45,9322563
46,9238757
47,9283179
48,9239357
49,9245929
50,9727360
51,9275464
52,9424604
53,9254295
54,9236972
55,9223778
56,9445241
57,9450211
58,9433129
59,9415567
60,9265035
61,9239958
62,9231582
63,9256910
64,9235009
65,9544217
66,9258362
67,9415236
68,9219599
69,9431476
70,9247553
71,9432297
72,9216936
73,9524930
74,9239287
75,9229949
76,9421858
77,9268020
78,9263383
79,9450872
80,9512397
81,9321290
82,9421328
83,9449550
84,9233416
85,9424383
86,9220060
87,9228497
88,9223919
89,9254897
90,9432989
91,9284552
92,9436776
93,9422559
94,9230110
95,9226733
96,9235370
97,9217897
98,9626231
99,9448528
100,9269954
